Question_Index,Query,Method,Pearson,Spearman,NDCG,KendallTau,Precision_at_1,Precision_at_3,Precision_at_5,Hit_rate_at_k,Reciprocal_Rank,Num_Items
0,total number of death row inmates in the us,ContextCite32,0.9984552417715405,0.7333333333333332,0.9827276311190337,0.6,1.0,0.3333333333333333,0.8,1,1.0,10
0,total number of death row inmates in the us,KernelShap32,0.9982184850551402,0.8060606060606059,0.9997751245293041,0.6888888888888888,1.0,1.0,0.8,1,1.0,10
0,total number of death row inmates in the us,BetaShap (U)32,0.9961370177838909,0.4787878787878787,0.9597276190112777,0.4222222222222222,1.0,0.3333333333333333,0.4,1,1.0,10
0,total number of death row inmates in the us,TMC32,0.9966897809313173,0.6121212121212121,0.9839453423402093,0.5111111111111111,1.0,0.6666666666666666,0.6,1,1.0,10
0,total number of death row inmates in the us,ContextCite64,0.9982080633568166,0.7696969696969697,1.0,0.6,1.0,1.0,0.8,1,1.0,10
0,total number of death row inmates in the us,KernelShap64,0.9986482818938782,0.7454545454545454,0.9997751245293041,0.6,1.0,1.0,0.8,1,1.0,10
0,total number of death row inmates in the us,BetaShap (U)64,0.9934378940937381,0.8060606060606059,0.9839453423402093,0.6888888888888888,1.0,0.6666666666666666,0.6,1,1.0,10
0,total number of death row inmates in the us,TMC64,0.9981084423323925,0.8181818181818182,0.9915030592859462,0.7333333333333333,1.0,0.6666666666666666,0.6,1,1.0,10
0,total number of death row inmates in the us,ContextCite100,0.9983588988334173,0.8181818181818182,0.9915030592859462,0.6888888888888888,1.0,0.6666666666666666,0.8,1,1.0,10
0,total number of death row inmates in the us,KernelShap100,0.9993826181891262,0.9151515151515152,0.9997751245293041,0.7777777777777777,1.0,1.0,0.8,1,1.0,10
0,total number of death row inmates in the us,BetaShap (U)100,0.9951904178684141,0.8545454545454544,0.9915030592859462,0.7333333333333333,1.0,0.6666666666666666,0.8,1,1.0,10
0,total number of death row inmates in the us,TMC100,0.9987226177007351,0.8060606060606059,0.9915030592859462,0.6888888888888888,1.0,0.6666666666666666,0.6,1,1.0,10
0,total number of death row inmates in the us,LOO,0.9975742283697274,0.5636363636363636,0.972562039841208,0.4666666666666666,1.0,0.3333333333333333,0.6,1,1.0,10
1,big little lies season 2 how many episodes,ContextCite32,0.5897585597858392,0.49090909090909085,0.7590564177811572,0.37777777777777777,0.0,0.3333333333333333,0.8,1,1.0,10
