Question_Index,Query,Method,Pearson,Spearman,NDCG,KendallTau,Num_Items
0,"What is the primary energy source of the 'Star-Sailor', Xylos's fastest exploratory vessel?",ContextCite32,0.985657425398275,0.5757575757575757,1.0,0.4666666666666666,10
0,"What is the primary energy source of the 'Star-Sailor', Xylos's fastest exploratory vessel?",WSS32,0.9874760037589287,0.5636363636363636,0.9983955981507643,0.4666666666666666,10
0,"What is the primary energy source of the 'Star-Sailor', Xylos's fastest exploratory vessel?",BetaShap (U)32,0.8342820382494289,0.28484848484848485,0.9808846094813578,0.15555555555555553,10
0,"What is the primary energy source of the 'Star-Sailor', Xylos's fastest exploratory vessel?",TMC32,0.9620956808122766,0.28484848484848485,0.9808846094813578,0.19999999999999998,10
0,"What is the primary energy source of the 'Star-Sailor', Xylos's fastest exploratory vessel?",ContextCite64,0.9945734552130765,0.7818181818181817,1.0,0.6888888888888888,10
0,"What is the primary energy source of the 'Star-Sailor', Xylos's fastest exploratory vessel?",WSS64,0.9892089580154558,0.8666666666666665,1.0,0.7333333333333333,10
0,"What is the primary energy source of the 'Star-Sailor', Xylos's fastest exploratory vessel?",BetaShap (U)64,0.8615365002796397,0.3939393939393939,0.9824703766478334,0.3333333333333333,10
0,"What is the primary energy source of the 'Star-Sailor', Xylos's fastest exploratory vessel?",TMC64,0.9871240279062697,0.5757575757575757,0.9824703766478334,0.4666666666666666,10
0,"What is the primary energy source of the 'Star-Sailor', Xylos's fastest exploratory vessel?",ContextCite100,0.998525157876145,0.9515151515151514,1.0,0.8666666666666666,10
0,"What is the primary energy source of the 'Star-Sailor', Xylos's fastest exploratory vessel?",WSS100,0.9950068631235448,0.9151515151515152,0.9996522888976336,0.7777777777777777,10
0,"What is the primary energy source of the 'Star-Sailor', Xylos's fastest exploratory vessel?",BetaShap (U)100,0.8243808215042226,0.5515151515151515,0.9824703766478334,0.4222222222222222,10
0,"What is the primary energy source of the 'Star-Sailor', Xylos's fastest exploratory vessel?",TMC100,0.9951196103369158,0.6242424242424242,0.9821413002282271,0.5111111111111111,10
0,"What is the primary energy source of the 'Star-Sailor', Xylos's fastest exploratory vessel?",LOO,0.9928974428732268,0.41818181818181815,0.9824890113305935,0.3333333333333333,10
1,What unique ability is possessed by the creature known as the 'Oracle of Whispers' on Xylos?,ContextCite32,0.9765993411905768,0.3939393939393939,0.9969091739926219,0.28888888888888886,10
1,What unique ability is possessed by the creature known as the 'Oracle of Whispers' on Xylos?,WSS32,0.9943484212460467,0.4424242424242424,0.9969091739926219,0.3333333333333333,10
1,What unique ability is possessed by the creature known as the 'Oracle of Whispers' on Xylos?,BetaShap (U)32,0.9774958167207334,-0.0303030303030303,0.990589113415006,-0.022222222222222223,10
1,What unique ability is possessed by the creature known as the 'Oracle of Whispers' on Xylos?,TMC32,0.9928655483841142,0.4787878787878787,0.990589113415006,0.4222222222222222,10
1,What unique ability is possessed by the creature known as the 'Oracle of Whispers' on Xylos?,ContextCite64,0.9946864657163224,0.49090909090909085,0.9969091739926219,0.37777777777777777,10
1,What unique ability is possessed by the creature known as the 'Oracle of Whispers' on Xylos?,WSS64,0.9978037439004004,0.7696969696969697,1.0,0.6444444444444444,10
1,What unique ability is possessed by the creature known as the 'Oracle of Whispers' on Xylos?,BetaShap (U)64,0.9482714849453396,0.35757575757575755,0.990589113415006,0.28888888888888886,10
1,What unique ability is possessed by the creature known as the 'Oracle of Whispers' on Xylos?,TMC64,0.9974659495329274,0.4666666666666666,0.990589113415006,0.37777777777777777,10
1,What unique ability is possessed by the creature known as the 'Oracle of Whispers' on Xylos?,ContextCite100,0.9978108069548028,0.6121212121212121,0.9985641419405898,0.4666666666666666,10
1,What unique ability is possessed by the creature known as the 'Oracle of Whispers' on Xylos?,WSS100,0.9990756004640996,0.6727272727272726,0.9920249714744162,0.6,10
1,What unique ability is possessed by the creature known as the 'Oracle of Whispers' on Xylos?,BetaShap (U)100,0.9399331084402067,0.6121212121212121,0.990589113415006,0.4222222222222222,10
1,What unique ability is possessed by the creature known as the 'Oracle of Whispers' on Xylos?,TMC100,0.9981289573644985,0.7575757575757575,0.9969091739926219,0.6444444444444444,10
1,What unique ability is possessed by the creature known as the 'Oracle of Whispers' on Xylos?,LOO,0.9973231155285741,0.13939393939393938,0.990589113415006,0.06666666666666667,10
2,"What material is used to craft the 'Sunstone Amulet', the symbol of Xylotian leadership?",ContextCite32,0.9216391901772854,0.6363636363636362,0.9112170458364496,0.4222222222222222,10
2,"What material is used to craft the 'Sunstone Amulet', the symbol of Xylotian leadership?",WSS32,0.9378941548185294,0.8787878787878788,0.9563887279462101,0.6888888888888888,10
2,"What material is used to craft the 'Sunstone Amulet', the symbol of Xylotian leadership?",BetaShap (U)32,0.08132663806956364,0.17575757575757575,0.5862253041444913,0.15555555555555553,10
2,"What material is used to craft the 'Sunstone Amulet', the symbol of Xylotian leadership?",TMC32,0.9456917777643832,0.8303030303030302,0.9277791635631838,0.6888888888888888,10
2,"What material is used to craft the 'Sunstone Amulet', the symbol of Xylotian leadership?",ContextCite64,0.9813554588626002,0.8909090909090909,0.9834378822732658,0.7333333333333333,10
2,"What material is used to craft the 'Sunstone Amulet', the symbol of Xylotian leadership?",WSS64,0.9835806304427837,0.7939393939393938,0.9563887279462101,0.6,10
2,"What material is used to craft the 'Sunstone Amulet', the symbol of Xylotian leadership?",BetaShap (U)64,0.407596976478918,0.6121212121212121,0.6313969862542519,0.4222222222222222,10
2,"What material is used to craft the 'Sunstone Amulet', the symbol of Xylotian leadership?",TMC64,0.9636322383407137,0.9151515151515152,0.9729508456729443,0.7777777777777777,10
2,"What material is used to craft the 'Sunstone Amulet', the symbol of Xylotian leadership?",ContextCite100,0.9837340055586546,0.8787878787878788,0.9563887279462101,0.6888888888888888,10
2,"What material is used to craft the 'Sunstone Amulet', the symbol of Xylotian leadership?",WSS100,0.9880362658282392,0.9393939393939393,0.9563887279462101,0.7777777777777777,10
